t_ms,thrust_raw_N,thrust_filt_N
7575,-7.2776,-7.0791
7587,-7.1945,-7.1022
7598,-7.0587,-7.0935
7610,-7.0407,-7.0829
7622,-7.0878,-7.0839
7634,-7.0126,-7.0697
7646,-6.7936,-7.0145
7658,-6.715,-6.9546
7669,-6.8532,-6.9343
7681,-6.8285,-6.9131
7693,-6.7611,-6.8827
7705,-6.7487,-6.8559
7717,-6.6443,-6.8136
7729,-6.5994,-6.7707
7740,-6.6712,-6.7508
7752,-6.7038,-6.7414
7764,-6.5713,-6.7074
7776,-6.5253,-6.671
7788,-6.5399,-6.6448
7800,-6.559,-6.6276
7812,-6.6061,-6.6233
7823,-6.6072,-6.6201
7835,-6.605,-6.6171
7847,-6.4208,-6.5778
7859,-6.2838,-6.519
7871,-6.4017,-6.4956
7883,-6.5309,-6.5026
7894,-6.4613,-6.4944
7906,-6.2704,-6.4496
7918,-6.2389,-6.4074
7930,-6.358,-6.3975
7942,-6.3804,-6.3941
7954,-6.5601,-6.4273
7965,-6.55,-6.4518
7977,-6.5354,-6.4685
7989,-6.5017,-6.4752
8001,-6.4916,-6.4785
8013,-6.3501,-6.4528
8025,-6.4871,-6.4596
8036,-6.5342,-6.4746
8048,-6.5017,-6.48
8060,-6.5298,-6.4899
8072,-6.4994,-6.4918
8084,-6.4029,-6.474
8096,-6.459,-6.471
8107,-6.4287,-6.4626
8119,-6.3804,-6.4461
8131,-6.532,-6.4633
8143,-6.6084,-6.4923
8155,-6.5668,-6.5072
8167,-6.5736,-6.5205
8178,-6.4949,-6.5154
8190,-6.3501,-6.4823
8202,-6.386,-6.4631
8214,-6.3703,-6.4445
8226,-6.2064,-6.3969
8238,-6.1468,-6.3469
8249,-6.1446,-6.3064
8261,-6.0379,-6.2527
8273,-6.1547,-6.2331
8285,-6.3097,-6.2484
8297,-6.1401,-6.2268
8309,-6.0963,-6.2007
8320,-6.1929,-6.1991
8332,-6.2277,-6.2048
8344,-6.267,-6.2173
8356,-6.1592,-6.2056
8368,-6.267,-6.2179
8380,-6.422,-6.2587
8391,-6.2131,-6.2496
8403,-6.2187,-6.2434
8415,-6.4096,-6.2767
8427,-6.4601,-6.3134
8439,-6.3961,-6.3299
8451,-6.5264,-6.3692
8463,-6.5971,-6.4148
8474,-6.7128,-6.4744
8486,-6.8981,-6.5591
8498,-6.8678,-6.6209
8510,-6.6409,-6.6249
8522,-6.5881,-6.6175
8534,-6.6454,-6.6231
8545,-6.5286,-6.6042
8557,-6.6589,-6.6151
8569,-6.6679,-6.6257
8581,-6.5893,-6.6184
8593,-6.7105,-6.6368
8605,-6.6791,-6.6453
8616,-6.6286,-6.6419
8628,-6.5702,-6.6276
8640,-6.5612,-6.6143
8652,-6.5736,-6.6062
8664,-6.4062,-6.5662
8676,-6.3007,-6.5131
8687,-6.3332,-6.4771
8699,-6.4332,-6.4683
8711,-6.3681,-6.4483
8723,-6.4905,-6.4567
8735,-6.6196,-6.4893
8747,-6.4298,-6.4774
8758,-6.4972,-6.4814
8770,-6.7611,-6.5373
8782,-6.6724,-6.5643
8794,-6.6746,-6.5864
8806,-6.8599,-6.6411
8818,-6.7195,-6.6568
8829,-6.7431,-6.674
8841,-6.6903,-6.6773
8853,-6.6724,-6.6763
8865,-6.7678,-6.6946
8877,-6.7308,-6.7018
8889,-6.3546,-6.6324
8901,-6.1873,-6.5434
8912,-6.3905,-6.5128
8924,-6.7746,-6.5651
8936,-6.6813,-6.5884
8948,-6.5567,-6.5821
8960,-6.6454,-6.5947
8972,-6.7948,-6.6347
8983,-6.7543,-6.6587
8995,-6.5107,-6.6291
9007,-6.5837,-6.62
9019,-6.6061,-6.6172
9031,-6.6331,-6.6204
9043,-6.7207,-6.6404
9054,-6.742,-6.6607
9066,-6.6297,-6.6545
9078,-6.5522,-6.6341
9090,-6.6095,-6.6292
9102,-6.5051,-6.6043
9114,-6.5039,-6.5843
9125,-6.7532,-6.618
9137,-6.989,-6.6922
9149,-6.9475,-6.7433
9161,-6.8913,-6.7729
9173,-6.7948,-6.7773
9185,-6.6915,-6.7601
9196,-6.559,-6.7199
9208,-6.6836,-6.7126
9220,-6.8644,-6.743
9232,-6.87,-6.7684
9244,-6.8094,-6.7766
9256,-6.7386,-6.769
9267,-6.7364,-6.7625
9279,-6.7049,-6.751
9291,-6.6937,-6.7395
9303,-6.7701,-6.7456
9315,-6.8588,-6.7682
9327,-6.8846,-6.7915
9338,-6.7746,-6.7881
9350,-6.5612,-6.7427
9362,-6.4714,-6.6885
9374,-6.6477,-6.6803
9386,-6.6993,-6.6841
9398,-6.7588,-6.6991
9409,-6.5118,-6.6616
9421,-6.4107,-6.6114
9433,-6.5062,-6.5904
9445,-6.3737,-6.547
9457,-6.5286,-6.5434
9469,-6.6274,-6.5602
9480,-6.4512,-6.5384
9492,-6.6117,-6.553
9504,-6.7532,-6.5931
9516,-6.8307,-6.6406
9528,-6.6926,-6.651
9540,-6.7555,-6.6719
9551,-6.8363,-6.7048
9563,-6.7465,-6.7131
9575,-6.8296,-6.7364
9587,-6.7701,-6.7431
9599,-6.5814,-6.7108
9611,-6.4916,-6.667
9622,-6.4635,-6.6263
9634,-6.4208,-6.5852
9646,-6.13,-6.4941
9658,-6.1165,-6.4186
9670,-6.194,-6.3737
9682,-6.3827,-6.3755
9693,-6.541,-6.4086
9705,-6.5971,-6.4463
9717,-6.5881,-6.4747
9729,-6.6106,-6.5019
9741,-6.5084,-6.5032
9753,-6.5185,-6.5062
9764,-6.6207,-6.5291
9776,-6.6095,-6.5452
9788,-6.5881,-6.5538
9800,-6.4354,-6.5301
9812,-6.3883,-6.5018
9824,-6.5286,-6.5071
9836,-6.4972,-6.5051
9847,-6.4882,-6.5018
9859,-6.5017,-6.5017
9871,-6.5084,-6.5031
9883,-6.6634,-6.5351
9895,-6.6196,-6.552
9907,-6.441,-6.5298
9918,-6.3231,-6.4885
9930,-6.3883,-6.4684
9942,-6.4321,-6.4612
9954,-6.285,-6.4259
9966,-6.2771,-6.3962
9978,-6.6522,-6.4474
9989,-6.7061,-6.4991
10001,-6.5152,-6.5023
